gamma,instances,optimal_instances,avg_obj,avg_dev,max_dev,avg_recharges,avg_battery_utilization,avg_makespan,avg_time
2.0,20,20,16.05,0.00,0.00,17.35,0.772,2292.55,0.67
2.5,20,20,15.90,0.00,0.00,13.50,0.788,2254.05,17.48
3.0,20,20,15.70,0.00,0.00,11.25,0.793,2231.55,0.18
3.5,20,20,15.60,0.00,0.00,9.50,0.800,2214.05,0.17
4.0,20,20,15.45,0.00,0.00,8.45,0.786,2203.55,2.77
4.5,20,20,15.25,0.00,0.00,7.90,0.764,2198.05,2.23
5.0,20,20,15.05,0.00,0.00,8.05,0.714,2199.55,0.86
5.5,20,20,15.05,0.00,0.00,6.25,0.772,2181.55,1.72
6.0,20,20,15.00,0.00,0.00,6.40,0.733,2183.05,0.40
