n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization
50,0.500000,0.400000,2.000000,0,100,48,814,1289,"GRASP-PR full-recharge heuristic",18,16.000000,0,1459072,15.016113,22,30.000000,1,14,2354.000000,1540.000000,0.920714
50,0.500000,0.400000,2.000000,1,100,47,859,1096,"GRASP-PR full-recharge heuristic",13,13.000000,1,4820,0.052058,15,30.000000,1,12,2179.000000,1320.000000,0.913333
50,0.500000,0.400000,2.000000,2,100,49,916,1281,"GRASP-PR full-recharge heuristic",14,13.000000,0,1474154,15.006668,15,30.000000,1,14,2456.000000,1540.000000,0.915000
50,0.500000,0.400000,2.000000,3,98,49,741,1482,"GRASP-PR full-recharge heuristic",18,16.000000,0,1497238,15.006622,20,30.000000,1,16,2469.000000,1728.000000,0.945153
50,0.500000,0.400000,2.000000,4,100,49,756,1285,"GRASP-PR full-recharge heuristic",18,18.000000,1,47647,0.480611,20,30.000000,1,14,2296.000000,1540.000000,0.917857
50,0.500000,0.400000,2.000000,5,100,49,849,1440,"GRASP-PR full-recharge heuristic",20,19.000000,0,1510791,15.020276,22,30.000000,1,15,2499.000000,1650.000000,0.960000
50,0.500000,0.400000,2.000000,6,100,49,855,1331,"GRASP-PR full-recharge heuristic",16,15.000000,0,1498343,15.005107,19,30.000000,1,14,2395.000000,1540.000000,0.950714
50,0.500000,0.400000,2.000000,7,100,49,898,1433,"GRASP-PR full-recharge heuristic",18,17.000000,0,1492932,15.004265,20,30.000000,1,16,2658.000000,1760.000000,0.895625
50,0.500000,0.400000,2.000000,8,98,50,847,1387,"GRASP-PR full-recharge heuristic",16,15.000000,0,1481954,15.009552,20,30.000000,1,16,2575.000000,1728.000000,0.884566
50,0.500000,0.400000,2.000000,9,96,50,838,1203,"GRASP-PR full-recharge heuristic",17,17.000000,1,128303,1.317554,21,30.000000,1,14,2322.000000,1484.000000,0.895089
50,0.500000,0.400000,2.000000,10,98,49,882,1271,"GRASP-PR full-recharge heuristic",14,14.000000,1,27514,0.273851,16,30.000000,1,14,2394.000000,1512.000000,0.926385
