n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization,rho,alpha,beta,pe_correlation,size_label,correlation_label
50,0.500000,0.400000,4.000000,6,200,50,855,1331,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.073229,16,600.000000,1,8,2266.000000,1411.000000,0.831875,-1.000000,10.000000,1.000000,independent,exact,independent
50,0.500000,0.400000,4.000000,7,200,47,898,1433,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.052785,17,600.000000,1,8,2411.000000,1513.000000,0.895625,-1.000000,10.000000,1.000000,independent,exact,independent
50,0.500000,0.400000,4.000000,8,196,50,847,1387,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.077273,14,600.000000,1,9,2324.000000,1477.000000,0.786281,-1.000000,10.000000,1.000000,independent,exact,independent
50,0.500000,0.400000,4.000000,9,192,50,838,1203,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,177981,103.295481,15,600.000000,1,8,2121.000000,1283.000000,0.783203,-1.000000,10.000000,1.000000,independent,exact,independent
50,0.500000,0.400000,4.000000,10,196,46,882,1271,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.075503,13,600.000000,1,7,2223.000000,1341.000000,0.926385,-1.000000,10.000000,1.000000,independent,exact,independent
50,0.500000,0.400000,4.000000,11,196,49,787,1223,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.064571,14,600.000000,1,7,2080.000000,1293.000000,0.891399,-1.000000,10.000000,1.000000,independent,exact,independent
50,0.500000,0.400000,4.000000,12,200,49,829,1264,Strengthened CPLEX MILP heuristic-start,18,18.000000,1,0,0.079343,18,600.000000,1,8,2173.000000,1344.000000,0.790000,-1.000000,10.000000,1.000000,independent,exact,independent
50,0.500000,0.400000,4.000000,13,200,50,794,1225,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.053045,16,600.000000,1,8,2099.000000,1305.000000,0.765625,-1.000000,10.000000,1.000000,independent,exact,independent
50,0.500000,0.400000,4.000000,14,188,49,742,1203,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,13585,12.358551,14,600.000000,1,14,2085.000000,1343.000000,0.457067,-1.000000,10.000000,1.000000,independent,exact,independent
50,0.500000,0.400000,4.000000,15,200,47,815,1298,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.059013,17,600.000000,1,8,2193.000000,1378.000000,0.811250,-1.000000,10.000000,1.000000,independent,exact,independent
50,0.500000,0.400000,4.000000,16,200,46,801,1406,Strengthened CPLEX MILP heuristic-start,18,18.000000,1,0,0.079112,18,600.000000,1,8,2287.000000,1486.000000,0.878750,-1.000000,10.000000,1.000000,independent,exact,independent
50,0.500000,0.400000,4.000000,17,200,49,739,1260,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.060797,15,600.000000,1,8,2079.000000,1340.000000,0.787500,-1.000000,10.000000,1.000000,independent,exact,independent
50,0.500000,0.400000,4.000000,18,200,50,798,1405,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.075287,16,600.000000,1,8,2283.000000,1485.000000,0.878125,-1.000000,10.000000,1.000000,independent,exact,independent
50,0.500000,0.400000,4.000000,19,200,49,796,1263,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.073630,14,600.000000,1,8,2139.000000,1343.000000,0.789375,-1.000000,10.000000,1.000000,independent,exact,independent
50,0.500000,0.400000,4.000000,0,200,40,814,1289,Strengthened CPLEX MILP heuristic-start,21,21.000000,1,0,0.058599,21,600.000000,1,9,2193.000000,1379.000000,0.716111,-1.000000,10.000000,1.000000,negative,exact,negative
50,0.500000,0.400000,4.000000,1,200,41,859,1096,Strengthened CPLEX MILP heuristic-start,20,20.000000,1,0,0.058084,20,600.000000,1,6,2015.000000,1156.000000,0.913333,-1.000000,10.000000,1.000000,negative,exact,negative
50,0.500000,0.400000,4.000000,2,200,44,916,1281,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,170,0.733583,18,600.000000,1,10,2297.000000,1381.000000,0.640500,-1.000000,10.000000,1.000000,negative,exact,negative
50,0.500000,0.400000,4.000000,3,196,36,741,1482,Strengthened CPLEX MILP heuristic-start,20,20.000000,1,1090,0.916287,21,600.000000,1,13,2353.000000,1612.000000,0.581633,-1.000000,10.000000,1.000000,negative,exact,negative
50,0.500000,0.400000,4.000000,4,200,44,756,1285,Strengthened CPLEX MILP heuristic-start,21,21.000000,1,0,0.072337,21,600.000000,1,8,2121.000000,1365.000000,0.803125,-1.000000,10.000000,1.000000,negative,exact,negative
50,0.500000,0.400000,4.000000,5,200,40,849,1440,Strengthened CPLEX MILP heuristic-start,24,24.000000,1,0,0.074442,24,600.000000,1,8,2369.000000,1520.000000,0.900000,-1.000000,10.000000,1.000000,negative,exact,negative
