gamma,instances,optimal_instances,avg_obj,avg_dev,max_dev,avg_recharges,avg_battery_utilization,avg_makespan,avg_time
2.0,30,29,15.80,0.03,1.00,17.77,0.763,2297.80,40.44
2.5,30,30,15.60,0.00,0.00,13.73,0.783,2257.47,13.00
3.0,30,30,15.43,0.00,0.00,11.43,0.789,2234.47,5.83
3.5,30,30,15.27,0.00,0.00,9.80,0.786,2218.13,0.26
4.0,30,30,15.13,0.00,0.00,8.47,0.791,2204.80,1.90
4.5,30,30,15.00,0.00,0.00,7.77,0.777,2197.80,1.51
5.0,30,30,14.87,0.00,0.00,7.60,0.747,2196.13,0.59
5.5,30,30,14.87,0.00,0.00,6.30,0.772,2183.13,1.30
6.0,30,30,14.80,0.00,0.00,6.30,0.740,2183.13,0.37
