n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization
50,0.500000,0.400000,2.000000,29,100,50,838,1363,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,12287,11.094431,16,600.000000,1,22,2421.000000,1583.000000,0.619545
50,0.500000,0.400000,2.500000,0,125,48,814,1289,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,142612,248.287233,16,600.000000,1,17,2273.000000,1459.000000,0.606588
50,0.500000,0.400000,2.500000,1,125,47,859,1096,"Strengthened CPLEX MILP heuristic-start",13,13.000000,1,0,0.053316,13,600.000000,1,11,2065.000000,1206.000000,0.797091
50,0.500000,0.400000,2.500000,2,125,49,916,1281,"Strengthened CPLEX MILP heuristic-start",13,13.000000,1,0,0.064669,13,600.000000,1,12,2317.000000,1401.000000,0.854000
50,0.500000,0.400000,2.500000,3,123,49,741,1482,"Strengthened CPLEX MILP heuristic-start",16,16.000000,1,0,0.045560,16,600.000000,1,15,2373.000000,1632.000000,0.803252
50,0.500000,0.400000,2.500000,4,125,49,756,1285,"Strengthened CPLEX MILP heuristic-start",18,18.000000,1,0,0.047154,18,600.000000,1,12,2161.000000,1405.000000,0.856667
50,0.500000,0.400000,2.500000,5,125,49,849,1440,"Strengthened CPLEX MILP heuristic-start",19,19.000000,1,0,0.063750,19,600.000000,1,13,2419.000000,1570.000000,0.886154
50,0.500000,0.400000,2.500000,6,125,49,855,1331,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,0,0.060044,15,600.000000,1,13,2316.000000,1461.000000,0.819077
50,0.500000,0.400000,2.500000,7,125,49,898,1433,"Strengthened CPLEX MILP heuristic-start",16,16.000000,1,99808,99.486053,17,600.000000,1,19,2521.000000,1623.000000,0.603368
50,0.500000,0.400000,2.500000,8,123,50,847,1387,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,0,0.050403,15,600.000000,1,13,2364.000000,1517.000000,0.867417
50,0.500000,0.400000,2.500000,9,120,50,838,1203,"Strengthened CPLEX MILP heuristic-start",17,17.000000,1,0,0.047258,17,600.000000,1,13,2171.000000,1333.000000,0.771154
50,0.500000,0.400000,2.500000,10,123,49,882,1271,"Strengthened CPLEX MILP heuristic-start",14,14.000000,1,0,0.066926,14,600.000000,1,13,2283.000000,1401.000000,0.794872
50,0.500000,0.400000,2.500000,11,123,49,787,1223,"Strengthened CPLEX MILP heuristic-start",14,14.000000,1,0,0.061962,14,600.000000,1,13,2140.000000,1353.000000,0.764853
50,0.500000,0.400000,2.500000,12,125,48,829,1264,"Strengthened CPLEX MILP heuristic-start",18,18.000000,1,0,0.069842,18,600.000000,1,13,2223.000000,1394.000000,0.777846
50,0.500000,0.400000,2.500000,13,125,50,794,1225,"Strengthened CPLEX MILP heuristic-start",16,16.000000,1,0,0.048948,16,600.000000,1,12,2139.000000,1345.000000,0.816667
50,0.500000,0.400000,2.500000,14,118,49,742,1203,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,1134,0.928706,15,600.000000,1,12,2065.000000,1323.000000,0.849576
50,0.500000,0.400000,2.500000,15,125,48,815,1298,"Strengthened CPLEX MILP heuristic-start",17,17.000000,1,0,0.050276,17,600.000000,1,13,2243.000000,1428.000000,0.798769
50,0.500000,0.400000,2.500000,16,125,49,801,1406,"Strengthened CPLEX MILP heuristic-start",17,17.000000,1,0,0.064720,17,600.000000,1,14,2347.000000,1546.000000,0.803429
50,0.500000,0.400000,2.500000,17,125,50,739,1260,"Strengthened CPLEX MILP heuristic-start",16,16.000000,1,0,0.049058,16,600.000000,1,13,2129.000000,1390.000000,0.775385
50,0.500000,0.400000,2.500000,18,125,49,798,1405,"Strengthened CPLEX MILP heuristic-start",16,16.000000,1,0,0.063534,16,600.000000,1,14,2343.000000,1545.000000,0.802857
50,0.500000,0.400000,2.500000,19,125,50,796,1263,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,0,0.062918,15,600.000000,1,13,2189.000000,1393.000000,0.777231
50,0.500000,0.400000,2.500000,20,123,49,737,1446,"Strengthened CPLEX MILP heuristic-start",19,19.000000,1,0,0.047288,19,600.000000,1,16,2343.000000,1606.000000,0.734756
50,0.500000,0.400000,2.500000,21,118,50,785,1280,"Strengthened CPLEX MILP heuristic-start",16,16.000000,1,0,0.060181,16,600.000000,1,13,2195.000000,1410.000000,0.834420
50,0.500000,0.400000,2.500000,22,118,49,840,1346,"Strengthened CPLEX MILP heuristic-start",14,14.000000,1,0,0.064854,14,600.000000,1,14,2326.000000,1486.000000,0.814770
50,0.500000,0.400000,2.500000,23,123,46,790,1213,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,0,0.067177,15,600.000000,1,12,2123.000000,1333.000000,0.821816
