n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization
50,0.500000,0.400000,2.500000,13,125,50,794,1225,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.048948,16,600.000000,1,12,2139.000000,1345.000000,0.816667
50,0.500000,0.400000,2.500000,14,118,49,742,1203,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,1134,0.928706,15,600.000000,1,12,2065.000000,1323.000000,0.849576
50,0.500000,0.400000,2.500000,15,125,48,815,1298,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.050276,17,600.000000,1,13,2243.000000,1428.000000,0.798769
50,0.500000,0.400000,2.500000,16,125,49,801,1406,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.064720,17,600.000000,1,14,2347.000000,1546.000000,0.803429
50,0.500000,0.400000,2.500000,17,125,50,739,1260,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.049058,16,600.000000,1,13,2129.000000,1390.000000,0.775385
50,0.500000,0.400000,2.500000,19,125,50,796,1263,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.062918,15,600.000000,1,13,2189.000000,1393.000000,0.777231
50,0.500000,0.400000,2.500000,20,123,49,737,1446,Strengthened CPLEX MILP heuristic-start,19,19.000000,1,0,0.047288,19,600.000000,1,16,2343.000000,1606.000000,0.734756
50,0.500000,0.400000,3.000000,0,150,48,814,1289,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.055330,15,600.000000,1,11,2213.000000,1399.000000,0.781212
50,0.500000,0.400000,3.000000,1,150,47,859,1096,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.055633,13,600.000000,1,9,2045.000000,1186.000000,0.811852
50,0.500000,0.400000,3.000000,2,150,49,916,1281,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.065386,13,600.000000,1,10,2297.000000,1381.000000,0.854000
