n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization
100,0.500000,0.400000,2.500000,8,123,96,1657,2540,"GRASP-PR full-recharge heuristic",32,30.000000,0,645674,15.015292,35,30.000000,1,22,4583.000000,2926.000000,0.938655
100,0.500000,0.400000,2.500000,9,125,98,1475,2435,"GRASP-PR full-recharge heuristic",32,31.000000,0,683590,16.339708,36,30.000000,1,21,4310.000000,2835.000000,0.927619
100,0.500000,0.400000,2.500000,10,123,97,1499,2612,"GRASP-PR full-recharge heuristic",31,30.000000,0,648307,15.098230,35,30.000000,1,23,4558.000000,3059.000000,0.923294
100,0.500000,0.400000,2.500000,11,125,95,1637,2454,"GRASP-PR full-recharge heuristic",32,31.000000,0,636827,15.095167,36,30.000000,1,21,4472.000000,2835.000000,0.934857
100,0.500000,0.400000,2.500000,12,123,97,1555,2613,"GRASP-PR full-recharge heuristic",33,29.000000,0,720907,16.954113,38,30.000000,1,23,4614.000000,3059.000000,0.923648
100,0.500000,0.400000,2.500000,13,125,98,1605,2686,"GRASP-PR full-recharge heuristic",30,29.000000,0,651074,15.074166,33,30.000000,1,23,4710.000000,3105.000000,0.934261
100,0.500000,0.400000,2.500000,14,125,96,1529,2675,"GRASP-PR full-recharge heuristic",34,32.000000,0,649523,15.024452,36,30.000000,1,23,4634.000000,3105.000000,0.930435
100,0.500000,0.400000,2.500000,15,125,97,1657,2436,"GRASP-PR full-recharge heuristic",35,33.000000,0,626066,15.046573,37,30.000000,1,21,4492.000000,2835.000000,0.928000
100,0.500000,0.400000,2.500000,16,125,94,1506,2635,"GRASP-PR full-recharge heuristic",30,29.000000,0,644141,15.101039,33,30.000000,1,23,4611.000000,3105.000000,0.916522
100,0.500000,0.400000,2.500000,17,125,98,1718,2800,"GRASP-PR full-recharge heuristic",31,29.000000,0,685076,15.937465,35,30.000000,1,25,5093.000000,3375.000000,0.896000
100,0.500000,0.400000,2.500000,18,123,96,1633,2608,"GRASP-PR full-recharge heuristic",33,27.000000,0,645183,15.011906,35,30.000000,1,23,4692.000000,3059.000000,0.921881
100,0.500000,0.400000,2.500000,19,125,94,1553,2768,"GRASP-PR full-recharge heuristic",32,29.000000,0,646587,15.000412,33,30.000000,1,24,4793.000000,3240.000000,0.922667
100,0.500000,0.400000,2.500000,20,125,96,1605,2797,"GRASP-PR full-recharge heuristic",33,31.000000,0,658970,15.020657,34,30.000000,1,24,4845.000000,3240.000000,0.932333
100,0.500000,0.400000,3.000000,0,150,94,1576,2692,"GRASP-PR full-recharge heuristic",26,24.000000,0,618277,15.026658,29,30.000000,1,19,4616.000000,3040.000000,0.944561
100,0.500000,0.400000,3.000000,1,150,96,1480,2515,"GRASP-PR full-recharge heuristic",30,28.000000,0,622917,15.000896,32,30.000000,1,18,4360.000000,2880.000000,0.931481
100,0.500000,0.400000,3.000000,2,150,95,1683,2639,"GRASP-PR full-recharge heuristic",36,34.000000,0,590027,15.081425,38,30.000000,1,19,4723.000000,3040.000000,0.925965
100,0.500000,0.400000,3.000000,3,150,97,1639,2733,"GRASP-PR full-recharge heuristic",33,31.000000,0,627512,15.089328,39,30.000000,1,19,4679.000000,3040.000000,0.958947
100,0.500000,0.400000,3.000000,4,147,98,1601,2654,"GRASP-PR full-recharge heuristic",30,28.000000,0,616493,15.019642,31,30.000000,1,20,4741.000000,3140.000000,0.902721
100,0.500000,0.400000,3.000000,5,150,97,1582,2717,"GRASP-PR full-recharge heuristic",32,31.000000,0,621306,15.029694,37,30.000000,1,19,4622.000000,3040.000000,0.953333
100,0.500000,0.400000,3.000000,6,150,96,1515,2505,"GRASP-PR full-recharge heuristic",28,27.000000,0,638109,15.076353,32,30.000000,1,18,4395.000000,2880.000000,0.927778
100,0.500000,0.400000,3.000000,7,150,97,1648,2548,"GRASP-PR full-recharge heuristic",31,29.000000,0,624286,15.051456,35,30.000000,1,18,4528.000000,2880.000000,0.943704
100,0.500000,0.400000,3.000000,8,147,96,1657,2540,"GRASP-PR full-recharge heuristic",32,30.000000,0,619385,15.076725,35,30.000000,1,18,4483.000000,2826.000000,0.959940
100,0.500000,0.400000,3.000000,9,150,98,1475,2435,"GRASP-PR full-recharge heuristic",32,31.000000,0,603732,15.071704,34,30.000000,1,17,4195.000000,2720.000000,0.954902
100,0.500000,0.400000,3.000000,10,147,97,1499,2612,"GRASP-PR full-recharge heuristic",30,29.000000,0,626739,15.033552,32,30.000000,1,19,4482.000000,2983.000000,0.935195
100,0.500000,0.400000,3.000000,11,150,95,1637,2454,"GRASP-PR full-recharge heuristic",32,31.000000,0,614358,15.062649,35,30.000000,1,18,4517.000000,2880.000000,0.908889
