n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization
100,0.500000,0.400000,2.500000,16,125,94,1506,2635,GRASP-PR heuristic,29,29.000000,1,0,0.009419,29,30.000000,1,26,4401.000000,2895.000000,0.810769
100,0.500000,0.400000,2.500000,17,125,98,1718,2800,GRASP-PR heuristic,29,29.000000,1,33383,0.745758,30,30.000000,1,27,4788.000000,3070.000000,0.829630
100,0.500000,0.400000,2.500000,19,125,94,1553,2768,GRASP-PR heuristic,29,29.000000,1,0,0.009974,29,30.000000,1,27,4591.000000,3038.000000,0.820148
100,0.500000,0.400000,2.500000,20,125,96,1605,2797,GRASP-PR heuristic,32,31.000000,0,683237,15.092206,32,30.000000,1,25,4652.000000,3047.000000,0.895040
100,0.500000,0.400000,3.000000,0,150,94,1576,2692,GRASP-PR heuristic,24,24.000000,1,0,0.009730,24,30.000000,1,21,4478.000000,2902.000000,0.854603
100,0.500000,0.400000,3.000000,1,150,96,1480,2515,GRASP-PR heuristic,29,28.000000,0,645601,15.043619,29,30.000000,1,18,4175.000000,2695.000000,0.931481
100,0.500000,0.400000,3.000000,2,150,95,1683,2639,GRASP-PR heuristic,34,34.000000,1,508565,12.003248,35,30.000000,1,20,4522.000000,2839.000000,0.879667
100,0.500000,0.400000,3.000000,3,150,97,1639,2733,GRASP-PR heuristic,32,31.000000,0,655326,15.047542,32,30.000000,1,20,4572.000000,2933.000000,0.911000
100,0.500000,0.400000,3.000000,4,147,98,1601,2654,GRASP-PR heuristic,28,28.000000,1,0,0.009807,28,30.000000,1,20,4455.000000,2854.000000,0.902721
100,0.500000,0.400000,3.000000,5,150,97,1582,2717,GRASP-PR heuristic,31,31.000000,1,0,0.009770,31,30.000000,1,22,4519.000000,2937.000000,0.823333
100,0.500000,0.400000,3.000000,6,150,96,1515,2505,GRASP-PR heuristic,27,27.000000,1,93642,2.163593,28,30.000000,1,18,4200.000000,2685.000000,0.927778
100,0.500000,0.400000,3.000000,7,150,97,1648,2548,GRASP-PR heuristic,29,29.000000,1,0,0.009378,29,30.000000,1,20,4396.000000,2748.000000,0.849333
100,0.500000,0.400000,3.000000,8,147,96,1657,2540,GRASP-PR heuristic,30,30.000000,1,0,0.009186,30,30.000000,1,20,4397.000000,2740.000000,0.863946
100,0.500000,0.400000,3.000000,9,150,98,1475,2435,GRASP-PR heuristic,31,31.000000,1,0,0.008971,31,30.000000,1,19,4100.000000,2625.000000,0.854386
100,0.500000,0.400000,3.000000,10,147,97,1499,2612,GRASP-PR heuristic,29,29.000000,1,0,0.009402,29,30.000000,1,21,4321.000000,2822.000000,0.846129
100,0.500000,0.400000,3.000000,11,150,95,1637,2454,GRASP-PR heuristic,31,31.000000,1,0,0.008989,31,30.000000,1,19,4281.000000,2644.000000,0.861053
100,0.500000,0.400000,3.000000,12,147,97,1555,2613,GRASP-PR heuristic,28,28.000000,1,88130,2.083149,29,30.000000,1,21,4378.000000,2823.000000,0.846453
100,0.500000,0.400000,3.000000,13,150,98,1605,2686,GRASP-PR heuristic,28,28.000000,1,1091,0.035329,29,30.000000,1,20,4491.000000,2886.000000,0.895333
100,0.500000,0.400000,3.000000,14,150,96,1529,2675,GRASP-PR heuristic,31,31.000000,1,0,0.009499,31,30.000000,1,21,4414.000000,2885.000000,0.849206
100,0.500000,0.400000,3.000000,15,150,97,1657,2436,GRASP-PR heuristic,33,32.000000,0,623700,15.001942,33,30.000000,1,17,4263.000000,2606.000000,0.955294
100,0.500000,0.400000,3.000000,16,150,94,1506,2635,GRASP-PR heuristic,28,28.000000,1,0,0.009381,28,30.000000,1,21,4351.000000,2845.000000,0.836508
100,0.500000,0.400000,3.000000,17,150,98,1718,2800,GRASP-PR heuristic,29,29.000000,1,0,0.010223,29,30.000000,1,21,4728.000000,3010.000000,0.888889
100,0.500000,0.400000,3.000000,19,150,94,1553,2768,GRASP-PR heuristic,29,29.000000,1,0,0.010181,29,30.000000,1,22,4541.000000,2988.000000,0.838788
100,0.500000,0.400000,3.000000,20,150,96,1605,2797,GRASP-PR heuristic,31,31.000000,1,0,0.009917,31,30.000000,1,22,4622.000000,3017.000000,0.847576
100,0.500000,0.400000,3.500000,0,175,94,1576,2692,GRASP-PR heuristic,24,24.000000,1,0,0.009785,24,30.000000,1,18,4448.000000,2872.000000,0.854603
100,0.500000,0.400000,3.500000,1,175,96,1480,2515,GRASP-PR heuristic,28,28.000000,1,0,0.009206,28,30.000000,1,16,4155.000000,2675.000000,0.898214
100,0.500000,0.400000,3.500000,2,175,95,1683,2639,GRASP-PR heuristic,34,34.000000,1,0,0.009501,34,30.000000,1,18,4502.000000,2819.000000,0.837778
100,0.500000,0.400000,3.500000,3,175,97,1639,2733,GRASP-PR heuristic,31,31.000000,1,0,0.009762,31,30.000000,1,19,4562.000000,2923.000000,0.821955
100,0.500000,0.400000,3.500000,4,172,98,1601,2654,GRASP-PR heuristic,28,27.000000,0,615289,15.043917,28,30.000000,1,16,4415.000000,2814.000000,0.964390
100,0.500000,0.400000,3.500000,5,175,97,1582,2717,GRASP-PR heuristic,31,31.000000,1,0,0.009542,31,30.000000,1,18,4479.000000,2897.000000,0.862540
100,0.500000,0.400000,3.500000,6,175,96,1515,2505,GRASP-PR heuristic,27,27.000000,1,0,0.008917,27,30.000000,1,16,4180.000000,2665.000000,0.894643
100,0.500000,0.400000,3.500000,7,175,97,1648,2548,GRASP-PR heuristic,29,29.000000,1,0,0.008984,29,30.000000,1,17,4366.000000,2718.000000,0.856471
100,0.500000,0.400000,3.500000,8,172,96,1657,2540,GRASP-PR heuristic,30,30.000000,1,0,0.009036,30,30.000000,1,18,4377.000000,2720.000000,0.820413
100,0.500000,0.400000,3.500000,9,175,98,1475,2435,GRASP-PR heuristic,31,31.000000,1,0,0.008668,31,30.000000,1,16,4070.000000,2595.000000,0.869643
100,0.500000,0.400000,3.500000,10,172,97,1499,2612,GRASP-PR heuristic,29,29.000000,1,0,0.009197,29,30.000000,1,17,4281.000000,2782.000000,0.893297
100,0.500000,0.400000,3.500000,11,175,95,1637,2454,GRASP-PR heuristic,30,30.000000,1,0,0.008831,30,30.000000,1,16,4251.000000,2614.000000,0.876429
100,0.500000,0.400000,3.500000,12,172,97,1555,2613,GRASP-PR heuristic,28,28.000000,1,1090,0.036450,29,30.000000,1,18,4348.000000,2793.000000,0.843992
100,0.500000,0.400000,3.500000,13,175,98,1605,2686,GRASP-PR heuristic,28,28.000000,1,0,0.009563,28,30.000000,1,18,4471.000000,2866.000000,0.852698
100,0.500000,0.400000,3.500000,14,175,96,1529,2675,GRASP-PR heuristic,31,31.000000,1,0,0.009322,31,30.000000,1,18,4384.000000,2855.000000,0.849206
100,0.500000,0.400000,3.500000,15,175,97,1657,2436,GRASP-PR heuristic,32,32.000000,1,0,0.008741,32,30.000000,1,16,4253.000000,2596.000000,0.870000
100,0.500000,0.400000,3.500000,16,175,94,1506,2635,GRASP-PR heuristic,28,28.000000,1,0,0.009326,28,30.000000,1,17,4311.000000,2805.000000,0.885714
100,0.500000,0.400000,3.500000,17,175,98,1718,2800,GRASP-PR heuristic,28,28.000000,1,1090,0.035871,29,30.000000,1,18,4698.000000,2980.000000,0.888889
100,0.500000,0.400000,3.500000,19,175,94,1553,2768,GRASP-PR heuristic,28,28.000000,1,9019,0.224195,29,30.000000,1,18,4501.000000,2948.000000,0.878730
100,0.500000,0.400000,3.500000,20,175,96,1605,2797,GRASP-PR heuristic,30,30.000000,1,137003,3.181221,31,30.000000,1,17,4572.000000,2967.000000,0.940168
100,0.500000,0.400000,4.000000,0,200,94,1576,2692,GRASP-PR heuristic,23,23.000000,1,25752,0.655656,24,30.000000,1,15,4418.000000,2842.000000,0.897333
100,0.500000,0.400000,4.000000,1,200,96,1480,2515,GRASP-PR heuristic,28,28.000000,1,0,0.009148,28,30.000000,1,15,4145.000000,2665.000000,0.838333
100,0.500000,0.400000,4.000000,2,200,95,1683,2639,GRASP-PR heuristic,34,33.000000,0,564404,15.017030,34,30.000000,1,15,4472.000000,2789.000000,0.879667
100,0.500000,0.400000,4.000000,3,200,97,1639,2733,GRASP-PR heuristic,31,31.000000,1,0,0.009542,31,30.000000,1,16,4532.000000,2893.000000,0.854062
100,0.500000,0.400000,4.000000,4,196,98,1601,2654,GRASP-PR heuristic,27,27.000000,1,0,0.009512,27,30.000000,1,16,4415.000000,2814.000000,0.846301
100,0.500000,0.400000,4.000000,5,200,97,1582,2717,GRASP-PR heuristic,30,30.000000,1,0,0.009479,30,30.000000,1,15,4449.000000,2867.000000,0.905667
100,0.500000,0.400000,4.000000,6,200,96,1515,2505,GRASP-PR heuristic,27,27.000000,1,0,0.008855,27,30.000000,1,14,4160.000000,2645.000000,0.894643
100,0.500000,0.400000,4.000000,7,200,97,1648,2548,GRASP-PR heuristic,28,28.000000,1,1091,0.036649,29,30.000000,1,14,4336.000000,2688.000000,0.910000
100,0.500000,0.400000,4.000000,8,196,96,1657,2540,GRASP-PR heuristic,30,30.000000,1,0,0.008981,30,30.000000,1,15,4347.000000,2690.000000,0.863946
100,0.500000,0.400000,4.000000,9,200,98,1475,2435,GRASP-PR heuristic,31,31.000000,1,0,0.008635,31,30.000000,1,14,4050.000000,2575.000000,0.869643
100,0.500000,0.400000,4.000000,10,196,97,1499,2612,GRASP-PR heuristic,29,29.000000,1,0,0.009150,29,30.000000,1,15,4261.000000,2762.000000,0.888435
100,0.500000,0.400000,4.000000,11,200,95,1637,2454,GRASP-PR heuristic,30,30.000000,1,0,0.008752,30,30.000000,1,14,4231.000000,2594.000000,0.876429
100,0.500000,0.400000,4.000000,12,196,97,1555,2613,GRASP-PR heuristic,28,28.000000,1,0,0.009166,28,30.000000,1,16,4328.000000,2773.000000,0.833227
100,0.500000,0.400000,4.000000,13,200,98,1605,2686,GRASP-PR heuristic,28,28.000000,1,0,0.009400,28,30.000000,1,16,4451.000000,2846.000000,0.839375
100,0.500000,0.400000,4.000000,14,200,96,1529,2675,GRASP-PR heuristic,30,30.000000,1,1090,0.035569,31,30.000000,1,15,4354.000000,2825.000000,0.891667
100,0.500000,0.400000,4.000000,15,200,97,1657,2436,GRASP-PR heuristic,32,32.000000,1,0,0.008725,32,30.000000,1,15,4243.000000,2586.000000,0.812000
100,0.500000,0.400000,4.000000,16,200,94,1506,2635,GRASP-PR heuristic,28,28.000000,1,0,0.009238,28,30.000000,1,15,4291.000000,2785.000000,0.878333
100,0.500000,0.400000,4.000000,17,200,98,1718,2800,GRASP-PR heuristic,28,28.000000,1,0,0.009756,28,30.000000,1,16,4678.000000,2960.000000,0.875000
100,0.500000,0.400000,4.000000,19,200,94,1553,2768,GRASP-PR heuristic,28,28.000000,1,0,0.009949,28,30.000000,1,17,4491.000000,2938.000000,0.814118
100,0.500000,0.400000,4.000000,20,200,96,1605,2797,GRASP-PR heuristic,30,29.000000,0,620568,15.055855,30,30.000000,1,15,4552.000000,2947.000000,0.932333
100,0.500000,0.400000,4.500000,0,225,94,1576,2692,GRASP-PR heuristic,23,23.000000,1,0,0.009388,23,30.000000,1,14,4408.000000,2832.000000,0.854603
100,0.500000,0.400000,4.500000,1,225,96,1480,2515,GRASP-PR heuristic,28,28.000000,1,0,0.009123,28,30.000000,1,13,4125.000000,2645.000000,0.859829
100,0.500000,0.400000,4.500000,2,225,95,1683,2639,GRASP-PR heuristic,33,33.000000,1,1091,0.039490,34,30.000000,1,14,4462.000000,2779.000000,0.837778
100,0.500000,0.400000,4.500000,3,225,97,1639,2733,GRASP-PR heuristic,31,31.000000,1,0,0.009443,31,30.000000,1,14,4512.000000,2873.000000,0.867619
100,0.500000,0.400000,4.500000,4,221,98,1601,2654,GRASP-PR heuristic,27,27.000000,1,0,0.009393,27,30.000000,1,14,4395.000000,2794.000000,0.857789
100,0.500000,0.400000,4.500000,5,225,97,1582,2717,GRASP-PR heuristic,30,30.000000,1,0,0.009432,30,30.000000,1,14,4439.000000,2857.000000,0.862540
100,0.500000,0.400000,4.500000,6,225,96,1515,2505,GRASP-PR heuristic,27,27.000000,1,0,0.008831,27,30.000000,1,13,4150.000000,2635.000000,0.856410
100,0.500000,0.400000,4.500000,7,225,97,1648,2548,GRASP-PR heuristic,28,28.000000,1,0,0.009048,28,30.000000,1,13,4326.000000,2678.000000,0.871111
100,0.500000,0.400000,4.500000,8,221,96,1657,2540,GRASP-PR heuristic,29,29.000000,1,0,0.008958,29,30.000000,1,13,4327.000000,2670.000000,0.884093
100,0.500000,0.400000,4.500000,9,225,98,1475,2435,GRASP-PR heuristic,30,29.000000,0,540791,15.017212,31,30.000000,1,12,4030.000000,2555.000000,0.901852
100,0.500000,0.400000,4.500000,10,221,97,1499,2612,GRASP-PR heuristic,28,28.000000,1,0,0.009929,28,30.000000,1,13,4241.000000,2742.000000,0.909154
100,0.500000,0.400000,4.500000,11,225,95,1637,2454,GRASP-PR heuristic,30,29.000000,0,537177,15.005795,30,30.000000,1,12,4211.000000,2574.000000,0.908889
100,0.500000,0.400000,4.500000,12,221,97,1555,2613,GRASP-PR heuristic,28,27.000000,0,550505,15.048557,28,30.000000,1,13,4298.000000,2743.000000,0.909502
100,0.500000,0.400000,4.500000,13,225,98,1605,2686,GRASP-PR heuristic,28,28.000000,1,0,0.009531,28,30.000000,1,14,4431.000000,2826.000000,0.852698
100,0.500000,0.400000,4.500000,14,225,96,1529,2675,GRASP-PR heuristic,30,30.000000,1,0,0.009331,30,30.000000,1,13,4334.000000,2805.000000,0.914530
100,0.500000,0.400000,4.500000,15,225,97,1657,2436,GRASP-PR heuristic,32,32.000000,1,0,0.008706,32,30.000000,1,12,4213.000000,2556.000000,0.902222
100,0.500000,0.400000,4.500000,16,225,94,1506,2635,GRASP-PR heuristic,27,27.000000,1,1091,0.037524,28,30.000000,1,13,4271.000000,2765.000000,0.900855
100,0.500000,0.400000,4.500000,17,225,98,1718,2800,GRASP-PR heuristic,28,28.000000,1,0,0.009749,28,30.000000,1,14,4658.000000,2940.000000,0.888889
