gamma,instances,optimal_instances,avg_obj,avg_dev,max_dev,avg_recharges,avg_battery_utilization,avg_makespan,avg_time
2.0,20,15,30.95,0.30,2.00,30.20,0.873,4510.70,4.32
2.5,20,14,30.25,0.30,1.00,24.35,0.867,4452.20,4.62
3.0,20,17,29.60,0.15,1.00,20.15,0.873,4410.20,3.08
3.5,20,19,29.25,0.05,1.00,17.25,0.873,4381.20,0.93
4.0,20,18,29.00,0.10,1.00,15.15,0.870,4360.20,1.55
4.5,20,17,28.70,0.15,1.00,13.30,0.880,4341.70,2.31
5.0,20,18,28.45,0.10,1.00,12.20,0.867,4330.70,1.96
5.5,20,18,28.30,0.10,1.00,11.10,0.865,4319.70,1.51
6.0,20,18,28.25,0.10,1.00,10.45,0.844,4313.20,1.86
