n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available
100,0.500000,0.800000,3.000000,6,150,95,1592,2800,Strengthened CPLEX MILP,11,11.000000,1,77930,380.459586,100,600.000000,1
100,0.500000,0.800000,3.000000,7,144,96,1567,2528,Strengthened CPLEX MILP,14,13.000000,0,132783,600.042328,100,600.000000,1
100,0.500000,0.800000,3.000000,8,150,95,1463,2599,Strengthened CPLEX MILP,9,8.000000,0,20091,600.056687,100,600.000000,1
100,0.500000,0.800000,3.000000,9,150,96,1579,2458,Strengthened CPLEX MILP,12,12.000000,1,33435,207.212343,100,600.000000,1
100,0.500000,0.800000,5.000000,0,250,92,1572,2518,Strengthened CPLEX MILP,18,17.000000,0,15460,600.049499,100,600.000000,1
100,0.500000,0.800000,5.000000,1,250,99,1476,2590,Strengthened CPLEX MILP,13,13.000000,1,130937,332.240376,100,600.000000,1
100,0.500000,0.800000,5.000000,2,250,95,1675,2710,Strengthened CPLEX MILP,15,15.000000,1,5748,23.594304,100,600.000000,1
100,0.500000,0.800000,5.000000,3,250,93,1451,2857,Strengthened CPLEX MILP,12,11.000000,0,125222,600.054388,100,600.000000,1
100,0.500000,0.800000,5.000000,4,250,97,1731,2663,Strengthened CPLEX MILP,24,23.000000,0,91427,600.053227,100,600.000000,1
100,0.500000,0.800000,5.000000,5,250,95,1612,2505,Strengthened CPLEX MILP,16,16.000000,1,36333,429.400165,100,600.000000,1
100,0.500000,0.800000,5.000000,6,245,96,1689,2726,Strengthened CPLEX MILP,21,21.000000,1,1149,9.954198,100,600.000000,1
100,0.500000,0.800000,5.000000,7,250,97,1621,2408,Strengthened CPLEX MILP,11,10.000000,0,76348,600.020413,100,600.000000,1
100,0.500000,0.800000,5.000000,8,250,100,1523,2538,Strengthened CPLEX MILP,15,15.000000,1,1024,10.672906,100,600.000000,1
100,0.500000,0.800000,5.000000,9,250,100,1580,2702,Strengthened CPLEX MILP,14,12.000000,0,21119,600.019905,100,600.000000,1
100,0.600000,0.800000,3.000000,0,150,94,1787,2516,Strengthened CPLEX MILP,30,30.000000,1,21515,113.279399,100,600.000000,1
100,0.600000,0.800000,3.000000,1,150,93,1635,2508,Strengthened CPLEX MILP,38,35.000000,0,55022,600.005219,100,600.000000,1
100,0.600000,0.800000,3.000000,2,150,96,1673,2248,Strengthened CPLEX MILP,21,19.000000,0,55287,600.000546,100,600.000000,1
100,0.600000,0.800000,3.000000,3,147,98,1654,2600,Strengthened CPLEX MILP,26,26.000000,1,33529,144.263619,100,600.000000,1
100,0.600000,0.800000,3.000000,4,150,96,1686,2757,Strengthened CPLEX MILP,41,40.000000,0,45630,600.002969,100,600.000000,1
100,0.600000,0.800000,3.000000,5,150,99,1684,2522,Strengthened CPLEX MILP,20,19.000000,0,234984,600.001677,100,600.000000,1
100,0.600000,0.800000,3.000000,6,150,95,1632,2642,Strengthened CPLEX MILP,39,38.000000,0,16015,600.001084,100,600.000000,1
100,0.600000,0.800000,3.000000,7,150,99,1602,2595,Strengthened CPLEX MILP,23,23.000000,1,9595,128.641306,100,600.000000,1
100,0.600000,0.800000,3.000000,8,147,97,1632,2657,Strengthened CPLEX MILP,33,32.000000,0,58970,600.019348,100,600.000000,1
100,0.600000,0.800000,3.000000,9,150,96,1571,2626,Strengthened CPLEX MILP,25,24.000000,0,82281,600.018865,100,600.000000,1
100,0.600000,0.800000,5.000000,1,250,97,1709,2600,Strengthened CPLEX MILP,35,34.000000,0,119014,600.017809,100,600.000000,1
100,0.600000,0.800000,5.000000,2,250,98,1586,2616,Strengthened CPLEX MILP,35,35.000000,1,12999,165.032022,100,600.000000,1
100,0.600000,0.800000,5.000000,3,250,94,1559,2572,Strengthened CPLEX MILP,24,24.000000,1,11264,95.329131,100,600.000000,1
100,0.600000,0.800000,5.000000,4,250,96,1524,2534,Strengthened CPLEX MILP,30,27.000000,0,23215,600.007677,100,600.000000,1
100,0.600000,0.800000,5.000000,5,250,95,1666,2874,Strengthened CPLEX MILP,33,32.000000,0,26980,600.009049,100,600.000000,1
100,0.600000,0.800000,5.000000,6,245,96,1681,2739,Strengthened CPLEX MILP,26,26.000000,1,32733,170.312586,100,600.000000,1
100,0.600000,0.800000,5.000000,7,250,98,1656,2625,Strengthened CPLEX MILP,41,40.000000,0,14243,600.007782,100,600.000000,1
100,0.600000,0.800000,5.000000,8,250,94,1591,2582,Strengthened CPLEX MILP,49,48.000000,0,222522,600.008090,100,600.000000,1
100,0.600000,0.800000,5.000000,9,250,91,1682,2600,Strengthened CPLEX MILP,33,33.000000,1,33196,428.389129,100,600.000000,1
100,0.600000,0.800000,5.000000,10,250,98,1535,2464,Strengthened CPLEX MILP,24,24.000000,1,42448,479.498678,100,600.000000,1
200,0.500000,0.800000,3.000000,0,150,191,3124,5137,Strengthened CPLEX MILP,32,31.000000,0,30787,600.128115,200,600.000000,1
200,0.500000,0.800000,3.000000,1,150,184,3365,5471,Strengthened CPLEX MILP,32,29.000000,0,7479,600.115699,200,600.000000,1
200,0.500000,0.800000,3.000000,2,150,188,3186,5393,Strengthened CPLEX MILP,35,30.000000,0,20215,600.113838,200,600.000000,1
200,0.500000,0.800000,3.000000,3,150,191,3178,5097,Strengthened CPLEX MILP,24,20.000000,0,25252,600.083650,200,600.000000,1
200,0.500000,0.800000,3.000000,4,150,186,3306,5420,Strengthened CPLEX MILP,25,17.000000,0,10255,600.089748,200,600.000000,1
200,0.500000,0.800000,3.000000,5,150,187,3155,4988,Strengthened CPLEX MILP,27,22.000000,0,29124,600.068259,200,600.000000,1
200,0.500000,0.800000,3.000000,6,150,189,3222,5193,Strengthened CPLEX MILP,28,27.000000,0,22906,600.357291,200,600.000000,1
200,0.500000,0.800000,3.000000,7,150,185,3124,4989,Strengthened CPLEX MILP,24,22.000000,0,35068,600.072621,200,600.000000,1
200,0.500000,0.800000,3.000000,8,150,185,3435,4964,Strengthened CPLEX MILP,19,18.000000,0,32651,600.061961,200,600.000000,1
200,0.500000,0.800000,3.000000,9,150,189,3190,4924,Strengthened CPLEX MILP,23,21.000000,0,34351,600.085020,200,600.000000,1
200,0.500000,0.800000,5.000000,0,250,185,3279,5143,Strengthened CPLEX MILP,28,24.000000,0,10546,600.129493,200,600.000000,1
200,0.500000,0.800000,5.000000,1,250,184,3119,5626,Strengthened CPLEX MILP,27,25.000000,0,16497,600.113083,200,600.000000,1
200,0.500000,0.800000,5.000000,2,250,186,3263,5259,Strengthened CPLEX MILP,24,23.000000,0,14249,600.231376,200,600.000000,1
200,0.500000,0.800000,5.000000,3,250,186,3159,4945,Strengthened CPLEX MILP,43,39.000000,0,10100,600.114133,200,600.000000,1
200,0.500000,0.800000,5.000000,4,250,182,3166,5053,Strengthened CPLEX MILP,28,27.000000,0,12092,600.195385,200,600.000000,1
200,0.500000,0.800000,5.000000,5,250,187,3130,5433,Strengthened CPLEX MILP,25,23.000000,0,22044,600.337719,200,600.000000,1
200,0.500000,0.800000,5.000000,6,250,188,3298,5030,Strengthened CPLEX MILP,25,24.000000,0,11328,600.297515,200,600.000000,1
200,0.500000,0.800000,5.000000,7,245,189,3315,5025,Strengthened CPLEX MILP,28,27.000000,0,16954,600.106677,200,600.000000,1
200,0.500000,0.800000,5.000000,8,250,187,3312,5113,Strengthened CPLEX MILP,34,30.000000,0,28721,600.110103,200,600.000000,1
200,0.500000,0.800000,5.000000,9,250,196,3216,4895,Strengthened CPLEX MILP,21,20.000000,0,16326,600.103964,200,600.000000,1
200,0.600000,0.800000,3.000000,0,150,186,3313,5260,Strengthened CPLEX MILP,48,47.000000,0,6839,600.110030,200,600.000000,1
200,0.600000,0.800000,3.000000,1,150,188,3212,5400,Strengthened CPLEX MILP,71,67.000000,0,45223,600.118066,200,600.000000,1
200,0.600000,0.800000,3.000000,2,150,189,3193,5123,Strengthened CPLEX MILP,59,55.000000,0,16928,600.131772,200,600.000000,1
200,0.600000,0.800000,3.000000,3,150,188,3229,4904,Strengthened CPLEX MILP,56,52.000000,0,21282,600.125939,200,600.000000,1
200,0.600000,0.800000,3.000000,4,150,188,3422,5354,Strengthened CPLEX MILP,49,47.000000,0,9493,600.110975,200,600.000000,1
200,0.600000,0.800000,3.000000,5,150,190,3216,5184,Strengthened CPLEX MILP,65,63.000000,0,20108,600.133713,200,600.000000,1
200,0.600000,0.800000,3.000000,6,150,190,3017,5117,Strengthened CPLEX MILP,79,76.000000,0,25787,600.116544,200,600.000000,1
200,0.600000,0.800000,3.000000,7,150,186,3089,5116,Strengthened CPLEX MILP,71,57.000000,0,6457,600.124184,200,600.000000,1
200,0.600000,0.800000,3.000000,8,150,188,3193,5134,Strengthened CPLEX MILP,66,55.000000,0,10922,600.118293,200,600.000000,1
200,0.600000,0.800000,3.000000,9,150,189,3139,5407,Strengthened CPLEX MILP,70,68.000000,0,34279,600.120711,200,600.000000,1
200,0.600000,0.800000,5.000000,0,250,189,3318,5243,Strengthened CPLEX MILP,58,55.000000,0,11083,600.130370,200,600.000000,1
200,0.600000,0.800000,5.000000,1,250,188,3200,5228,Strengthened CPLEX MILP,59,57.000000,0,25479,600.236681,200,600.000000,1
200,0.600000,0.800000,5.000000,2,250,184,3270,5004,Strengthened CPLEX MILP,70,65.000000,0,14366,600.233430,200,600.000000,1
200,0.600000,0.800000,5.000000,3,250,185,3248,4973,Strengthened CPLEX MILP,75,70.000000,0,10629,600.224202,200,600.000000,1
200,0.600000,0.800000,5.000000,4,250,189,3016,5005,Strengthened CPLEX MILP,56,55.000000,0,66758,600.228000,200,600.000000,1
200,0.600000,0.800000,5.000000,5,250,190,3317,5215,Strengthened CPLEX MILP,68,65.000000,0,6910,600.239969,200,600.000000,1
200,0.600000,0.800000,5.000000,6,250,187,3441,5041,Strengthened CPLEX MILP,54,52.000000,0,12403,600.231542,200,600.000000,1
200,0.600000,0.800000,5.000000,7,250,192,3157,5134,Strengthened CPLEX MILP,72,62.000000,0,9859,600.137687,200,600.000000,1
200,0.600000,0.800000,5.000000,8,250,188,3145,5378,Strengthened CPLEX MILP,71,68.000000,0,16722,600.125294,200,600.000000,1
200,0.600000,0.800000,5.000000,9,250,183,3464,5366,Strengthened CPLEX MILP,56,52.000000,0,11543,600.129898,200,600.000000,1
