n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization,rho,alpha,beta,policy
40,0.500000,0.400000,5.000000,18,250,39,643,1063,Full-recharge strengthened CPLEX MILP heuristic-start,13,13.000000,1,4098,8.718930,15,180.000000,1,5,2205.500000,1562.500000,0.850400,0.200000,62.500000,1.000000,full
40,0.500000,0.400000,5.000000,18,250,39,643,1063,Strengthened CPLEX MILP heuristic-start,10,10.000000,1,275,0.654490,11,180.000000,1,10,2331.000000,1688.000000,0.425200,0.200000,62.500000,1.000000,partial
40,0.500000,0.400000,5.000000,19,245,39,612,1028,Full-recharge strengthened CPLEX MILP heuristic-start,13,13.000000,1,2894,4.221838,13,180.000000,1,5,2143.250000,1531.250000,0.839184,0.200000,61.250000,1.000000,full
40,0.500000,0.400000,5.000000,19,245,39,612,1028,Strengthened CPLEX MILP heuristic-start,11,11.000000,1,100,0.259448,12,180.000000,1,11,2313.750000,1701.750000,0.381447,0.200000,61.250000,1.000000,partial
40,0.500000,0.400000,5.000000,0,250,40,508,1156,Full-recharge strengthened CPLEX MILP heuristic-start,9,9.000000,1,0,0.057836,9,180.000000,1,5,3633.000000,3125.000000,0.924800,0.600000,375.000000,1.000000,full
40,0.500000,0.400000,5.000000,0,250,40,508,1156,Strengthened CPLEX MILP heuristic-start,9,9.000000,1,0,0.057338,9,180.000000,1,5,3539.000000,3031.000000,0.924800,0.600000,375.000000,1.000000,partial
40,0.500000,0.400000,5.000000,1,245,40,580,1036,Full-recharge strengthened CPLEX MILP heuristic-start,7,7.000000,1,1190,1.413805,10,180.000000,1,8,5480.000000,4900.000000,0.528571,0.600000,367.500000,1.000000,full
40,0.500000,0.400000,5.000000,1,245,40,580,1036,Strengthened CPLEX MILP heuristic-start,7,7.000000,1,1000,0.512909,9,180.000000,1,7,4188.500000,3608.500000,0.604082,0.600000,367.500000,1.000000,partial
40,0.500000,0.400000,5.000000,2,250,40,726,1078,Full-recharge strengthened CPLEX MILP heuristic-start,11,11.000000,1,7102,15.616275,13,180.000000,1,6,4476.000000,3750.000000,0.718667,0.600000,375.000000,1.000000,full
40,0.500000,0.400000,5.000000,2,250,40,726,1078,Strengthened CPLEX MILP heuristic-start,11,11.000000,1,2921,4.676604,12,180.000000,1,10,5554.000000,4828.000000,0.431200,0.600000,375.000000,1.000000,partial
40,0.500000,0.400000,5.000000,3,250,40,621,955,Full-recharge strengthened CPLEX MILP heuristic-start,11,11.000000,1,0,0.164533,12,180.000000,1,5,3746.000000,3125.000000,0.764000,0.600000,375.000000,1.000000,full
40,0.500000,0.400000,5.000000,3,250,40,621,955,Strengthened CPLEX MILP heuristic-start,11,11.000000,1,0,0.047672,11,180.000000,1,5,3451.000000,2830.000000,0.764000,0.600000,375.000000,1.000000,partial
40,0.500000,0.400000,5.000000,4,245,39,652,1008,Full-recharge strengthened CPLEX MILP heuristic-start,8,8.000000,1,3731,5.130781,13,180.000000,1,5,3714.500000,3062.500000,0.822857,0.600000,367.500000,1.000000,full
40,0.500000,0.400000,5.000000,4,245,39,652,1008,Strengthened CPLEX MILP heuristic-start,8,8.000000,1,421,0.960992,8,180.000000,1,5,3497.500000,2845.500000,0.822857,0.600000,367.500000,1.000000,partial
40,0.500000,0.400000,5.000000,5,240,39,619,1150,Full-recharge strengthened CPLEX MILP heuristic-start,10,10.000000,1,19216,25.736544,11,180.000000,1,6,4219.000000,3600.000000,0.798611,0.600000,360.000000,1.000000,full
40,0.500000,0.400000,5.000000,5,240,39,619,1150,Strengthened CPLEX MILP heuristic-start,8,8.000000,1,406,0.548370,9,180.000000,1,11,5729.000000,5110.000000,0.435606,0.600000,360.000000,1.000000,partial
40,0.500000,0.400000,5.000000,6,240,40,580,1047,Full-recharge strengthened CPLEX MILP heuristic-start,8,8.000000,1,135,0.452637,9,180.000000,1,6,4180.000000,3600.000000,0.727083,0.600000,360.000000,1.000000,full
40,0.500000,0.400000,5.000000,6,240,40,580,1047,Strengthened CPLEX MILP heuristic-start,8,8.000000,1,0,0.228405,9,180.000000,1,9,4867.000000,4287.000000,0.484722,0.600000,360.000000,1.000000,partial
40,0.500000,0.400000,5.000000,7,245,39,627,1029,Full-recharge strengthened CPLEX MILP heuristic-start,7,7.000000,1,1087,2.074482,8,180.000000,1,6,4302.000000,3675.000000,0.700000,0.600000,367.500000,1.000000,full
40,0.500000,0.400000,5.000000,7,245,39,627,1029,Strengthened CPLEX MILP heuristic-start,7,7.000000,1,720,1.113341,8,180.000000,1,8,4596.000000,3969.000000,0.525000,0.600000,367.500000,1.000000,partial
40,0.500000,0.400000,5.000000,8,245,39,624,1156,Full-recharge strengthened CPLEX MILP heuristic-start,10,10.000000,1,0,0.235633,11,180.000000,1,7,4911.500000,4287.500000,0.674052,0.600000,367.500000,1.000000,full
40,0.500000,0.400000,5.000000,8,245,39,624,1156,Strengthened CPLEX MILP heuristic-start,10,10.000000,1,0,0.054379,10,180.000000,1,5,3617.500000,2993.500000,0.943673,0.600000,367.500000,1.000000,partial
40,0.500000,0.400000,5.000000,9,250,40,669,1026,Full-recharge strengthened CPLEX MILP heuristic-start,6,6.000000,1,2227,3.513875,7,180.000000,1,7,5044.000000,4375.000000,0.586286,0.600000,375.000000,1.000000,full
40,0.500000,0.400000,5.000000,9,250,40,669,1026,Strengthened CPLEX MILP heuristic-start,6,6.000000,1,196,0.533166,7,180.000000,1,6,3945.000000,3276.000000,0.684000,0.600000,375.000000,1.000000,partial
40,0.500000,0.400000,5.000000,10,250,40,644,1035,Full-recharge strengthened CPLEX MILP heuristic-start,6,6.000000,1,1580,1.720127,9,180.000000,1,7,5019.000000,4375.000000,0.591429,0.600000,375.000000,1.000000,full
40,0.500000,0.400000,5.000000,10,250,40,644,1035,Strengthened CPLEX MILP heuristic-start,6,6.000000,1,2094,1.645243,7,180.000000,1,9,5054.000000,4410.000000,0.460000,0.600000,375.000000,1.000000,partial
40,0.500000,0.400000,5.000000,11,245,40,659,1158,Full-recharge strengthened CPLEX MILP heuristic-start,9,9.000000,1,0,0.315677,10,180.000000,1,6,4334.000000,3675.000000,0.787755,0.600000,367.500000,1.000000,full
40,0.500000,0.400000,5.000000,11,245,40,659,1158,Strengthened CPLEX MILP heuristic-start,9,9.000000,1,2181,4.145352,10,180.000000,1,8,4757.000000,4098.000000,0.590816,0.600000,367.500000,1.000000,partial
40,0.500000,0.400000,5.000000,12,250,40,647,1146,Full-recharge strengthened CPLEX MILP heuristic-start,9,9.000000,1,1510,3.262973,11,180.000000,1,6,4397.000000,3750.000000,0.764000,0.600000,375.000000,1.000000,full
40,0.500000,0.400000,5.000000,12,250,40,647,1146,Strengthened CPLEX MILP heuristic-start,9,9.000000,1,150,0.357580,10,180.000000,1,6,4043.000000,3396.000000,0.764000,0.600000,375.000000,1.000000,partial
40,0.500000,0.400000,5.000000,13,245,40,539,1059,Full-recharge strengthened CPLEX MILP heuristic-start,8,8.000000,1,1739,3.443297,10,180.000000,1,6,4214.000000,3675.000000,0.720408,0.600000,367.500000,1.000000,full
40,0.500000,0.400000,5.000000,13,245,40,539,1059,Strengthened CPLEX MILP heuristic-start,8,8.000000,1,4279,7.616474,9,180.000000,1,8,4538.000000,3999.000000,0.540306,0.600000,367.500000,1.000000,partial
40,0.500000,0.400000,5.000000,14,250,40,642,1002,Full-recharge strengthened CPLEX MILP heuristic-start,6,6.000000,1,0,0.131470,7,180.000000,1,5,3767.000000,3125.000000,0.801600,0.600000,375.000000,1.000000,full
40,0.500000,0.400000,5.000000,14,250,40,642,1002,Strengthened CPLEX MILP heuristic-start,6,6.000000,1,2634,2.695840,7,180.000000,1,6,3894.000000,3252.000000,0.668000,0.600000,375.000000,1.000000,partial
40,0.500000,0.400000,5.000000,15,250,38,710,1147,Full-recharge strengthened CPLEX MILP heuristic-start,9,9.000000,1,2536,4.753432,11,180.000000,1,7,5085.000000,4375.000000,0.655429,0.600000,375.000000,1.000000,full
40,0.500000,0.400000,5.000000,15,250,38,710,1147,Strengthened CPLEX MILP heuristic-start,9,9.000000,1,877,1.352887,10,180.000000,1,7,4482.000000,3772.000000,0.655429,0.600000,375.000000,1.000000,partial
40,0.500000,0.400000,5.000000,16,235,40,608,963,Full-recharge strengthened CPLEX MILP heuristic-start,7,7.000000,1,0,0.050058,7,180.000000,1,5,3545.500000,2937.500000,0.819574,0.600000,352.500000,1.000000,full
40,0.500000,0.400000,5.000000,16,235,40,608,963,Strengthened CPLEX MILP heuristic-start,7,7.000000,1,0,0.050909,7,180.000000,1,5,3333.500000,2725.500000,0.819574,0.600000,352.500000,1.000000,partial
40,0.500000,0.400000,5.000000,17,250,40,537,980,Full-recharge strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.062649,13,180.000000,1,5,3662.000000,3125.000000,0.784000,0.600000,375.000000,1.000000,full
40,0.500000,0.400000,5.000000,17,250,40,537,980,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.056660,13,180.000000,1,5,3392.000000,2855.000000,0.784000,0.600000,375.000000,1.000000,partial
40,0.500000,0.400000,5.000000,18,250,39,643,1063,Full-recharge strengthened CPLEX MILP heuristic-start,7,7.000000,1,231,1.002061,9,180.000000,1,6,4393.000000,3750.000000,0.708667,0.600000,375.000000,1.000000,full
40,0.500000,0.400000,5.000000,18,250,39,643,1063,Strengthened CPLEX MILP heuristic-start,7,7.000000,1,150,0.245844,8,180.000000,1,6,3956.000000,3313.000000,0.708667,0.600000,375.000000,1.000000,partial
40,0.500000,0.400000,5.000000,19,245,39,612,1028,Full-recharge strengthened CPLEX MILP heuristic-start,10,10.000000,1,4983,5.615053,12,180.000000,1,6,4287.000000,3675.000000,0.699320,0.600000,367.500000,1.000000,full
40,0.500000,0.400000,5.000000,19,245,39,612,1028,Strengthened CPLEX MILP heuristic-start,10,10.000000,1,2229,6.600748,12,180.000000,1,8,4580.000000,3968.000000,0.524490,0.600000,367.500000,1.000000,partial
