n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization
50,0.500000,0.400000,2.500000,15,125,48,815,1298,"GRASP-PR heuristic",17,17.000000,1,0,0.001391,17,30.000000,1,13,2243.000000,1428.000000,0.798769
50,0.500000,0.400000,2.500000,16,125,49,801,1406,"GRASP-PR heuristic",17,17.000000,1,0,0.001405,17,30.000000,1,14,2347.000000,1546.000000,0.803429
50,0.500000,0.400000,2.500000,17,125,50,739,1260,"GRASP-PR heuristic",16,16.000000,1,0,0.001300,16,30.000000,1,13,2129.000000,1390.000000,0.775385
50,0.500000,0.400000,2.500000,18,125,49,798,1405,"GRASP-PR heuristic",16,16.000000,1,0,0.001447,16,30.000000,1,14,2343.000000,1545.000000,0.802857
50,0.500000,0.400000,2.500000,19,125,50,796,1263,"GRASP-PR heuristic",15,15.000000,1,0,0.001357,15,30.000000,1,13,2189.000000,1393.000000,0.777231
50,0.500000,0.400000,2.500000,20,123,49,737,1446,"GRASP-PR heuristic",19,19.000000,1,0,0.001531,19,30.000000,1,16,2343.000000,1606.000000,0.734756
50,0.500000,0.400000,3.000000,0,150,48,814,1289,"GRASP-PR heuristic",15,15.000000,1,0,0.001342,15,30.000000,1,11,2213.000000,1399.000000,0.781212
50,0.500000,0.400000,3.000000,1,150,47,859,1096,"GRASP-PR heuristic",13,13.000000,1,0,0.001219,13,30.000000,1,9,2045.000000,1186.000000,0.811852
50,0.500000,0.400000,3.000000,2,150,49,916,1281,"GRASP-PR heuristic",13,13.000000,1,0,0.001353,13,30.000000,1,10,2297.000000,1381.000000,0.854000
50,0.500000,0.400000,3.000000,3,147,49,741,1482,"GRASP-PR heuristic",16,16.000000,1,0,0.001509,16,30.000000,1,12,2343.000000,1602.000000,0.840136
50,0.500000,0.400000,3.000000,4,150,49,756,1285,"GRASP-PR heuristic",18,18.000000,1,0,0.001361,18,30.000000,1,11,2151.000000,1395.000000,0.778788
50,0.500000,0.400000,3.000000,5,150,49,849,1440,"GRASP-PR heuristic",19,19.000000,1,0,0.001455,19,30.000000,1,12,2409.000000,1560.000000,0.800000
50,0.500000,0.400000,3.000000,6,150,49,855,1331,"GRASP-PR heuristic",15,15.000000,1,0,0.001387,15,30.000000,1,10,2286.000000,1431.000000,0.887333
50,0.500000,0.400000,3.000000,7,150,49,898,1433,"GRASP-PR heuristic",16,16.000000,1,484,0.006478,17,30.000000,1,12,2451.000000,1553.000000,0.796111
50,0.500000,0.400000,3.000000,8,147,50,847,1387,"GRASP-PR heuristic",15,15.000000,1,0,0.001421,15,30.000000,1,11,2344.000000,1497.000000,0.857761
50,0.500000,0.400000,3.000000,9,144,50,838,1203,"GRASP-PR heuristic",17,17.000000,1,0,0.001278,17,30.000000,1,11,2151.000000,1313.000000,0.759470
50,0.500000,0.400000,3.000000,10,147,49,882,1271,"GRASP-PR heuristic",13,13.000000,1,8260,0.086265,14,30.000000,1,10,2253.000000,1371.000000,0.864626
50,0.500000,0.400000,3.000000,11,147,49,787,1223,"GRASP-PR heuristic",14,14.000000,1,0,0.001313,14,30.000000,1,11,2120.000000,1333.000000,0.756339
50,0.500000,0.400000,3.000000,12,150,48,829,1264,"GRASP-PR heuristic",17,17.000000,1,39249,0.420086,18,30.000000,1,10,2193.000000,1364.000000,0.842667
50,0.500000,0.400000,3.000000,13,150,50,794,1225,"GRASP-PR heuristic",16,16.000000,1,0,0.001324,16,30.000000,1,10,2119.000000,1325.000000,0.816667
