n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available
100,0.500000,0.800000,3.000000,0,147,96,1697,2758,"GRASP-PR heuristic",12,12.000000,1,37444,0.851937,13,30.000000,1
100,0.500000,0.800000,3.000000,1,150,98,1509,2626,"GRASP-PR heuristic",13,12.000000,0,626181,15.001983,13,30.000000,1
100,0.500000,0.800000,3.000000,2,150,98,1471,2515,"GRASP-PR heuristic",13,13.000000,1,0,0.009065,13,30.000000,1
100,0.500000,0.800000,5.000000,0,250,92,1572,2518,"GRASP-PR heuristic",18,16.000000,0,443727,15.033857,19,30.000000,1
100,0.500000,0.800000,5.000000,1,250,99,1476,2590,"GRASP-PR heuristic",13,13.000000,1,1116,0.038693,14,30.000000,1
100,0.500000,0.800000,5.000000,2,250,95,1675,2710,"GRASP-PR heuristic",15,15.000000,1,0,0.009619,15,30.000000,1
100,0.600000,0.800000,3.000000,0,150,94,1787,2516,"GRASP-PR heuristic",30,29.000000,0,297553,15.078286,31,30.000000,1
100,0.600000,0.800000,3.000000,1,150,93,1635,2508,"GRASP-PR heuristic",37,35.000000,0,318839,15.049837,38,30.000000,1
100,0.600000,0.800000,3.000000,2,150,96,1673,2248,"GRASP-PR heuristic",21,18.000000,0,346712,15.060589,21,30.000000,1
100,0.600000,0.800000,5.000000,0,250,96,1665,2533,"GRASP-PR heuristic",56,42.000000,0,144930,15.310371,58,30.000000,1
100,0.600000,0.800000,5.000000,1,250,97,1709,2600,"GRASP-PR heuristic",35,33.000000,0,280149,15.140420,36,30.000000,1
100,0.600000,0.800000,5.000000,2,250,98,1586,2616,"GRASP-PR heuristic",35,34.000000,0,219773,15.210355,35,30.000000,1
200,0.500000,0.800000,3.000000,0,150,191,3124,5137,"GRASP-PR heuristic",31,31.000000,1,0,0.069891,31,30.000000,1
200,0.500000,0.800000,3.000000,1,150,184,3365,5471,"GRASP-PR heuristic",29,29.000000,1,35941,2.121313,30,30.000000,1
200,0.500000,0.800000,3.000000,2,150,188,3186,5393,"GRASP-PR heuristic",31,30.000000,0,263946,15.280168,31,30.000000,1
200,0.500000,0.800000,5.000000,0,250,185,3279,5143,"GRASP-PR heuristic",26,24.000000,0,224813,15.169538,26,30.000000,1
200,0.500000,0.800000,5.000000,1,250,184,3119,5626,"GRASP-PR heuristic",25,25.000000,1,0,0.077062,25,30.000000,1
200,0.500000,0.800000,5.000000,2,250,186,3263,5259,"GRASP-PR heuristic",24,23.000000,0,228996,15.114558,24,30.000000,1
200,0.600000,0.800000,3.000000,0,150,186,3313,5260,"GRASP-PR heuristic",47,47.000000,1,0,0.076296,47,30.000000,1
200,0.600000,0.800000,3.000000,1,150,188,3212,5400,"GRASP-PR heuristic",67,67.000000,1,98035,8.681376,70,30.000000,1
200,0.600000,0.800000,3.000000,2,150,189,3193,5123,"GRASP-PR heuristic",57,55.000000,0,212702,23.186119,59,30.000000,1
200,0.600000,0.800000,5.000000,0,250,189,3318,5243,"GRASP-PR heuristic",56,55.000000,0,240384,30.000179,57,30.000000,1
200,0.600000,0.800000,5.000000,1,250,188,3200,5228,"GRASP-PR heuristic",57,57.000000,1,0,0.071653,57,30.000000,1
200,0.600000,0.800000,5.000000,2,250,184,3270,5004,"GRASP-PR heuristic",69,63.000000,0,163241,30.000217,69,30.000000,1
