n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available
100,0.500000,0.800000,3.000000,0,147,96,1697,2758,"GRASP-PR heuristic",12,12.000000,1,57660,1.322970,13,30.000000,1
100,0.500000,0.800000,3.000000,1,150,98,1509,2626,"GRASP-PR heuristic",13,12.000000,0,630205,15.020275,13,30.000000,1
100,0.500000,0.800000,3.000000,2,150,98,1471,2515,"GRASP-PR heuristic",13,13.000000,1,0,0.009000,13,30.000000,1
100,0.500000,0.800000,5.000000,0,250,92,1572,2518,"GRASP-PR heuristic",18,16.000000,0,449164,15.024356,19,30.000000,1
100,0.500000,0.800000,5.000000,1,250,99,1476,2590,"GRASP-PR heuristic",13,13.000000,1,3790,0.110376,14,30.000000,1
100,0.500000,0.800000,5.000000,2,250,95,1675,2710,"GRASP-PR heuristic",15,15.000000,1,0,0.009582,15,30.000000,1
100,0.600000,0.800000,3.000000,0,150,94,1787,2516,"GRASP-PR heuristic",30,29.000000,0,292825,15.035421,31,30.000000,1
100,0.600000,0.800000,3.000000,1,150,93,1635,2508,"GRASP-PR heuristic",37,35.000000,0,319877,15.023873,38,30.000000,1
100,0.600000,0.800000,3.000000,2,150,96,1673,2248,"GRASP-PR heuristic",20,18.000000,0,354933,15.035730,21,30.000000,1
100,0.600000,0.800000,5.000000,0,250,96,1665,2533,"GRASP-PR heuristic",56,42.000000,0,142863,15.261012,58,30.000000,1
100,0.600000,0.800000,5.000000,1,250,97,1709,2600,"GRASP-PR heuristic",35,33.000000,0,347976,17.925803,36,30.000000,1
100,0.600000,0.800000,5.000000,2,250,98,1586,2616,"GRASP-PR heuristic",35,34.000000,0,215864,15.117782,35,30.000000,1
200,0.500000,0.800000,3.000000,0,150,191,3124,5137,"GRASP-PR heuristic",31,31.000000,1,0,0.074468,31,30.000000,1
200,0.500000,0.800000,3.000000,1,150,184,3365,5471,"GRASP-PR heuristic",29,29.000000,1,31740,1.896593,30,30.000000,1
200,0.500000,0.800000,3.000000,2,150,188,3186,5393,"GRASP-PR heuristic",31,30.000000,0,261135,15.169027,31,30.000000,1
200,0.500000,0.800000,5.000000,0,250,185,3279,5143,"GRASP-PR heuristic",26,24.000000,0,221495,15.062945,26,30.000000,1
200,0.500000,0.800000,5.000000,1,250,184,3119,5626,"GRASP-PR heuristic",25,25.000000,1,0,0.077138,25,30.000000,1
200,0.500000,0.800000,5.000000,2,250,186,3263,5259,"GRASP-PR heuristic",24,23.000000,0,227404,15.049457,24,30.000000,1
200,0.600000,0.800000,3.000000,0,150,186,3313,5260,"GRASP-PR heuristic",47,47.000000,1,0,0.075451,47,30.000000,1
200,0.600000,0.800000,3.000000,1,150,188,3212,5400,"GRASP-PR heuristic",67,67.000000,1,12292,1.180581,70,30.000000,1
200,0.600000,0.800000,3.000000,2,150,189,3193,5123,"GRASP-PR heuristic",58,55.000000,0,137715,15.106956,59,30.000000,1
200,0.600000,0.800000,5.000000,0,250,189,3318,5243,"GRASP-PR heuristic",56,55.000000,0,131284,16.405127,57,30.000000,1
200,0.600000,0.800000,5.000000,1,250,188,3200,5228,"GRASP-PR heuristic",57,57.000000,1,0,0.071384,57,30.000000,1
200,0.600000,0.800000,5.000000,2,250,184,3270,5004,"GRASP-PR heuristic",69,63.000000,0,161004,30.000215,69,30.000000,1
